Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,CO2_Fertilizer,CO2_Pesticide,CO2_Emissions,Carbon_Footprint
Arhar/Tur,2011,Kharif     ,Meghalaya,788,921,4083.104545,132005.76,260.04,0.96,349815.264,1300.2,351115.464,381.232859934854
Banana,2011,Kharif     ,Meghalaya,6919,82125,4083.104545,1159070.88,2283.27,10.37,3071537.832,11416.35,3082954.182,37.5397769497717
Black pepper,2011,Whole Year ,Meghalaya,911,493,4083.104545,152610.72,300.63,0.537142857,404418.408,1503.15,405921.558,823.37030020284
Cashewnut,2011,Whole Year ,Meghalaya,8697,15720,4083.104545,1456921.44,2870.01,1.493333333,3860841.816,14350.05,3875191.866,246.513477480916
Castor seed,2011,Kharif     ,Meghalaya,30,16,4083.104545,5025.6,9.9,0.66,13317.84,49.5,13367.34,835.45875
Cotton(lint),2011,Kharif     ,Meghalaya,6871,6389,4083.104545,1151029.92,2267.43,0.903333333,3050229.288,11337.15,3061566.438,479.193369541399
Dry chillies,2011,Whole Year ,Meghalaya,1893,1474,4083.104545,317115.36,624.69,1.041428571,840355.704,3123.45,843479.154,572.23823202171
Ginger,2011,Kharif     ,Meghalaya,9461,58132,4083.104545,1584906.72,3122.13,7.397142857,4200002.808,15610.65,4215613.458,72.5179498038946
Gram,2011,Rabi       ,Meghalaya,561,352,4083.104545,93978.72,185.13,0.59,249043.608,925.65,249969.258,710.1399375
Jute,2011,Kharif     ,Meghalaya,3889,34563,4083.104545,651485.28,1283.37,6.87,1726435.992,6416.85,1732852.842,50.1360657928999
Linseed,2011,Rabi       ,Meghalaya,85,41,4083.104545,14239.2,28.05,0.48,37733.88,140.25,37874.13,923.759268292683
Maize,2011,Kharif     ,Meghalaya,17303,26939,4083.104545,2898598.56,5709.99,1.58,7681286.184,28549.95,7709836.134,286.196077582687
Masoor,2011,Rabi       ,Meghalaya,356,296,4083.104545,59637.12,117.48,0.7875,158038.368,587.4,158625.768,535.897864864865
Mesta,2011,Kharif     ,Meghalaya,4125,18433,4083.104545,691020,1361.25,4.54,1831203,6806.25,1838009.25,99.7129740139966
Other  Rabi pulses,2011,Rabi       ,Meghalaya,890,642,4083.104545,149092.8,293.7,0.71,395095.92,1468.5,396564.42,617.701588785047
Peas & beans (Pulses),2011,Rabi       ,Meghalaya,1053,1488,4083.104545,176398.56,347.49,1.315714286,467456.184,1737.45,469193.634,315.318302419355
Potato,2011,Whole Year ,Meghalaya,17717,165670,4083.104545,2967951.84,5846.61,7.448571429,7865072.376,29233.05,7894305.426,47.6507842457898
Rapeseed &Mustard,2011,Rabi       ,Meghalaya,7193,4902,4083.104545,1204971.36,2373.69,0.6,3193174.104,11868.45,3205042.554,653.823450428397
Rice,2011,Autumn     ,Meghalaya,32605,43401,4083.104545,5461989.6,10759.65,1.511428571,14474272.44,53798.25,14528070.69,334.740459666828
Rice,2011,Rabi       ,Meghalaya,12836,54206,4083.104545,2150286.72,4235.88,2.07,5698259.808,21179.4,5719439.208,105.513028225658
Rice,2011,Winter     ,Meghalaya,63434,125124,4083.104545,10626463.68,20933.22,1.91,28160128.752,104666.1,28264794.852,225.894271698475
Sesamum,2011,Kharif     ,Meghalaya,1592,867,4083.104545,266691.84,525.36,0.598333333,706733.376,2626.8,709360.176,818.17782698962
Small millets,2011,Rabi       ,Meghalaya,2290,1755,4083.104545,383620.8,755.7,0.938571429,1016595.12,3778.5,1020373.62,581.40947008547
Soyabean,2011,Kharif     ,Meghalaya,1098,1231,4083.104545,183936.96,362.34,1.082857143,487432.944,1811.7,489244.644,397.436753858652
Sugarcane,2011,Whole Year ,Meghalaya,74,199,4083.104545,12396.48,24.42,2.444,32850.672,122.1,32972.772,165.69232160804
Sweet potato,2011,Kharif     ,Meghalaya,4164,13701,4083.104545,697553.28,1374.12,3.63,1848516.192,6870.6,1855386.792,135.419808189183
Tapioca,2011,Kharif     ,Meghalaya,4203,22046,4083.104545,704086.56,1386.99,6.122857143,1865829.384,6934.95,1872764.334,84.948032931144
Tobacco,2011,Rabi       ,Meghalaya,641,434,4083.104545,107380.32,211.53,0.7575,284557.848,1057.65,285615.498,658.100225806452
Turmeric,2011,Whole Year ,Meghalaya,2000,10512,4083.104545,335040,660,5.21,887856,3300,891156,84.7751141552512
Wheat,2011,Rabi       ,Meghalaya,395,710,4083.104545,66170.4,130.35,1.34,175351.56,651.75,176003.31,247.891985915493
Arecanut,2011,Whole Year ,Tamil Nadu,6509,15948,926.5,1090387.68,2147.97,2.054583333,2889527.352,10739.85,2900267.202,181.857737772762
Arhar/Tur,2011,Whole Year ,Tamil Nadu,35968,31292,926.5,6025359.36,11869.44,0.867037037,15967202.304,59347.2,16026549.504,512.161239422217
Bajra,2011,Kharif     ,Tamil Nadu,30837,68165,926.5,5165814.24,10176.21,2.1,13689407.736,50881.05,13740288.786,201.573957104086
Bajra,2011,Rabi       ,Tamil Nadu,15827,46282,926.5,2651339.04,5222.91,2.827272727,7026048.456,26114.55,7052163.006,152.373773950996
Banana,2011,Whole Year ,Tamil Nadu,103107,4505435,926.5,17272484.64,34025.31,43.34580645,45772084.296,170126.55,45942210.846,10.1970644002189
Black pepper,2011,Whole Year ,Tamil Nadu,3767,856,926.5,631047.84,1243.11,0.174285714,1672276.776,6215.55,1678492.326,1960.85552102804
Cardamom,2011,Whole Year ,Tamil Nadu,4321,393,926.5,723853.92,1425.93,0.073636364,1918212.888,7129.65,1925342.538,4899.09042748092
Cashewnut,2011,Whole Year ,Tamil Nadu,97033,25532,926.5,16254968.16,32020.89,0.285172414,43075665.624,160104.45,43235770.074,1693.39534991383
Castor seed,2011,Whole Year ,Tamil Nadu,6202,1861,926.5,1038959.04,2046.66,0.767407407,2753241.456,10233.3,2763474.756,1484.94076088125
Coconut ,2011,Whole Year ,Tamil Nadu,419400,6200900000,926.5,70257888,138402,13248.16226,186183403.2,692010,186875413.2,0.0301368209776
Coriander,2011,Whole Year ,Tamil Nadu,10804,5049,926.5,1809886.08,3565.32,0.454583333,4796198.112,17826.6,4814024.712,953.46102436126
Cotton(lint),2011,Kharif     ,Tamil Nadu,107036,302611,926.5,17930670.72,35321.88,3.036923077,47516277.408,176609.4,47692886.808,157.604603956895
Cotton(lint),2011,Rabi       ,Tamil Nadu,28769,79158,926.5,4819382.88,9493.77,2.83,12771364.632,47468.85,12818833.482,161.939835291442
Dry chillies,2011,Whole Year ,Tamil Nadu,56442,24640,926.5,9455163.84,18625.86,0.532258065,25056184.176,93129.3,25149313.476,1020.67018977273
Garlic,2011,Whole Year ,Tamil Nadu,442,2544,926.5,74043.84,145.86,4.335,196216.176,729.3,196945.476,77.4156745283019
Ginger,2011,Whole Year ,Tamil Nadu,635,7011,926.5,106375.2,209.55,11.01444444,281894.28,1047.75,282942.03,40.3568720581943
Gram,2011,Whole Year ,Tamil Nadu,8592,5520,926.5,1439331.84,2835.36,0.590625,3814229.376,14176.8,3828406.176,693.551843478261
Groundnut,2011,Kharif     ,Tamil Nadu,249079,548503,926.5,41725714.08,82196.07,2.228,110573142.312,410980.35,110984122.662,202.340046749061
Groundnut,2011,Rabi       ,Tamil Nadu,136533,512151,926.5,22872008.16,45055.89,3.583793103,60610821.624,225279.45,60836101.074,118.785477474417
Horse-gram,2011,Whole Year ,Tamil Nadu,68968,37181,926.5,11553519.36,22759.44,0.5356,30616826.304,113797.2,30730623.504,826.514174013609
Jowar,2011,Kharif     ,Tamil Nadu,134231,147052,926.5,22486377.12,44296.23,1.18173913,59588899.368,221481.15,59810380.518,406.729459769333
Jowar,2011,Rabi       ,Tamil Nadu,63465,105469,926.5,10631656.8,20943.45,1.6525,28173890.52,104717.25,28278607.77,268.122460343798
Jute,2011,Kharif     ,Tamil Nadu,3,0,926.5,502.56,0.99,0,1331.784,4.95,1336.734,inf
Maize,2011,Kharif     ,Tamil Nadu,176287,1001667,926.5,29531598.24,58174.71,5.832307692,78258735.336,290873.55,78549608.886,78.4188846053629
Maize,2011,Rabi       ,Tamil Nadu,104342,693800,926.5,17479371.84,34432.86,6.611481481,46320335.376,172164.3,46492499.676,67.0113860997406
Moong(Green Gram),2011,Whole Year ,Tamil Nadu,164069,85118,926.5,27484838.88,54142.77,0.600344828,72834823.032,270713.85,73105536.882,858.872822223267
Onion,2011,Whole Year ,Tamil Nadu,34913,376947,926.5,5848625.76,11521.29,11.16703704,15498858.264,57606.45,15556464.714,41.2696339644565
Potato,2011,Whole Year ,Tamil Nadu,4673,92207,926.5,782820.96,1542.09,19.59125,2074475.544,7710.45,2082185.994,22.5816477490863
Ragi,2011,Kharif     ,Tamil Nadu,68835,181491,926.5,11531239.2,22715.55,2.607083333,30557783.88,113577.75,30671361.63,168.99659834372
Ragi,2011,Rabi       ,Tamil Nadu,13970,43371,926.5,2340254.4,4610.1,2.879090909,6201674.16,23050.5,6224724.66,143.522737774089
Rapeseed &Mustard,2011,Rabi       ,Tamil Nadu,344,84,926.5,57626.88,113.52,0.226666667,152711.232,567.6,153278.832,1824.748
Rice,2011,Kharif     ,Tamil Nadu,1903772,7458657,926.5,318919885.4,628244.76,4.226451613,845137696.31,3141223.8,848278920.11,113.730785597193
Sesamum,2011,Whole Year ,Tamil Nadu,43175,26447,926.5,7232676,14247.75,0.577931034,19166591.4,71238.75,19237830.15,727.410676069119
Small millets,2011,Whole Year ,Tamil Nadu,30150,36407,926.5,5050728,9949.5,1.311304348,13384429.2,49747.5,13434176.7,368.999826956355
Sugarcane,2011,Whole Year ,Tamil Nadu,346350,38974842,926.5,58020552,114295.5,113.736,153754462.8,571477.5,154325940.3,3.95962965802402
Sunflower,2011,Whole Year ,Tamil Nadu,13610,24622,926.5,2279947.2,4491.3,1.779230769,6041860.08,22456.5,6064316.58,246.296668832751
Sweet potato,2011,Whole Year ,Tamil Nadu,390,7991,926.5,65332.8,128.7,20.57238095,173131.92,643.5,173775.42,21.7463921912151
Tapioca,2011,Whole Year ,Tamil Nadu,105350,3967751,926.5,17648232,34765.5,37.77344828,46767814.8,173827.5,46941642.3,11.8307933890005
Tobacco,2011,Whole Year ,Tamil Nadu,2868,8205,926.5,480447.36,946.44,2.648333333,1273185.504,4732.2,1277917.704,155.748653747715
Turmeric,2011,Whole Year ,Tamil Nadu,67246,368413,926.5,11265049.92,22191.18,5.563793103,29852382.288,110955.9,29963338.188,81.3308384557548
Urad,2011,Whole Year ,Tamil Nadu,308263,178816,926.5,51640217.76,101726.79,0.663333333,136846577.064,508633.95,137355211.014,768.137141050018
Arecanut,2012,Kharif     ,Andhra Pradesh,581,365,968.7,87614.8,180.11,1.453333333,232179.22,900.55,233079.77,638.574712328767
Arhar/Tur,2012,Kharif     ,Andhra Pradesh,480000,251000,968.7,72384000,148800,0.5885,191817600,744000,192561600,767.177689243028
Bajra,2012,Kharif     ,Andhra Pradesh,60000,100000,968.7,9048000,18600,1.483636364,23977200,93000,24070200,240.702
Bajra,2012,Rabi       ,Andhra Pradesh,7000,11000,968.7,1055600,2170,1.4,2797340,10850,2808190,255.29
Cashewnut,2012,Kharif     ,Andhra Pradesh,121782,33048,968.7,18364725.6,37752.42,0.278181818,48666522.84,188762.1,48855284.94,1478.31290668119
Castor seed,2012,Kharif     ,Andhra Pradesh,208000,105000,968.7,31366400,64480,0.764,83120960,322400,83443360,794.698666666667
Coconut ,2012,Whole Year ,Andhra Pradesh,99825,1670659000,968.7,15053610,30945.75,14794.63,39892066.5,154728.75,40046795.25,0.0239706578362191
Coriander,2012,Kharif     ,Andhra Pradesh,1109,717,968.7,167237.2,343.79,0.575,443178.58,1718.95,444897.53,620.498647140865
Coriander,2012,Rabi       ,Andhra Pradesh,7528,4534,968.7,1135222.4,2333.68,0.723333333,3008339.36,11668.4,3020007.76,666.080229378033
Cotton(lint),2012,Kharif     ,Andhra Pradesh,2402000,5600000,968.7,362221600,744620,2.440454545,959887240,3723100,963610340,172.073275
Cowpea(Lobia),2012,Kharif     ,Andhra Pradesh,5000,2000,968.7,754000,1550,0.4,1998100,7750,2005850,1002.925
Cowpea(Lobia),2012,Rabi       ,Andhra Pradesh,18000,17000,968.7,2714400,5580,1.0425,7193160,27900,7221060,424.768235294118
Dry chillies,2012,Kharif     ,Andhra Pradesh,160000,581000,968.7,24128000,49600,2.63,63939200,248000,64187200,110.477108433735
Dry chillies,2012,Rabi       ,Andhra Pradesh,44000,175000,968.7,6635200,13640,3.632142857,17583280,68200,17651480,100.8656
Ginger,2012,Kharif     ,Andhra Pradesh,702,2587,968.7,105861.6,217.62,6.5525,280533.24,1088.1,281621.34,108.860201005025
Ginger,2012,Rabi       ,Andhra Pradesh,1,8,968.7,150.8,0.31,8,399.62,1.55,401.17,50.14625
Gram,2012,Rabi       ,Andhra Pradesh,681000,762000,968.7,102694800,211110,1.322,272141220,1055550,273196770,358.52594488189
Groundnut,2012,Kharif     ,Andhra Pradesh,1059000,563000,968.7,159697200,328290,1.296,423197580,1641450,424839030,754.598632326821
Groundnut,2012,Rabi       ,Andhra Pradesh,286000,549000,968.7,43128800,88660,2.015238095,114291320,443300,114734620,208.988378870674
Horse-gram,2012,Kharif     ,Andhra Pradesh,5000,3000,968.7,754000,1550,0.556666667,1998100,7750,2005850,668.616666666667
Horse-gram,2012,Rabi       ,Andhra Pradesh,27000,16000,968.7,4071600,8370,0.566666667,10789740,41850,10831590,676.974375
Jowar,2012,Kharif     ,Andhra Pradesh,103000,161000,968.7,15532400,31930,1.567272727,41160860,159650,41320510,256.649130434783
Jowar,2012,Rabi       ,Andhra Pradesh,184000,381000,968.7,27747200,57040,1.562857143,73530080,285200,73815280,193.740892388451
Linseed,2012,Kharif     ,Andhra Pradesh,422,203,968.7,63637.6,130.82,0.455,168639.64,654.1,169293.74,833.959310344828
Maize,2012,Kharif     ,Andhra Pradesh,565000,2341000,968.7,85202000,175150,4.040952381,225785300,875750,226661050,96.822319521572
Maize,2012,Rabi       ,Andhra Pradesh,407000,2513000,968.7,61375600,126170,6.119545455,162645340,630850,163276190,64.9726183844011
Mesta,2012,Kharif     ,Andhra Pradesh,15000,126000,968.7,2262000,4650,7.125,5994300,23250,6017550,47.7583333333333
Moong(Green Gram),2012,Kharif     ,Andhra Pradesh,151000,107000,968.7,22770800,46810,0.554736842,60342620,234050,60576670,566.137102803738
Moong(Green Gram),2012,Rabi       ,Andhra Pradesh,127000,87000,968.7,19151600,39370,0.768666667,50751740,196850,50948590,585.615977011494
Niger seed,2012,Rabi       ,Andhra Pradesh,8273,5813,968.7,1247568.4,2564.63,0.63,3306056.26,12823.15,3318879.41,570.940892826424
Onion,2012,Kharif     ,Andhra Pradesh,25000,450000,968.7,3770000,7750,15.35285714,9990500,38750,10029250,22.2872222222222
Onion,2012,Rabi       ,Andhra Pradesh,14000,386000,968.7,2111200,4340,25.34375,5594680,21700,5616380,14.550207253886
Other  Rabi pulses,2012,Rabi       ,Andhra Pradesh,6590,4021,968.7,993772,2042.9,0.983333333,2633495.8,10214.5,2643710.3,657.475826908729
Other Kharif pulses,2012,Kharif     ,Andhra Pradesh,2929,1923,968.7,441693.2,907.99,0.6075,1170486.98,4539.95,1175026.93,611.038445137806
Potato,2012,Kharif     ,Andhra Pradesh,267,4093,968.7,40263.6,82.77,16.335,106698.54,413.85,107112.39,26.1696530662106
Potato,2012,Rabi       ,Andhra Pradesh,934,14306,968.7,140847.2,289.54,17.176,373245.08,1447.7,374692.78,26.1913029498113
Ragi,2012,Kharif     ,Andhra Pradesh,36000,38000,968.7,5428800,11160,1.207142857,14386320,55800,14442120,380.055789473684
Ragi,2012,Rabi       ,Andhra Pradesh,5000,6000,968.7,754000,1550,1.2,1998100,7750,2005850,334.308333333333
Rapeseed &Mustard,2012,Rabi       ,Andhra Pradesh,3522,1530,968.7,531117.6,1091.82,0.4525,1407461.64,5459.1,1412920.74,923.477607843137
Rice,2012,Kharif     ,Andhra Pradesh,2487000,7167000,968.7,375039600,770970,2.969545455,993854940,3854850,997709790,139.208844704897
Rice,2012,Rabi       ,Andhra Pradesh,1141000,4344000,968.7,172062800,353710,3.243636364,455966420,1768550,457734970,105.371770257827
Safflower,2012,Rabi       ,Andhra Pradesh,276,172,968.7,41620.8,85.56,1.256666667,110295.12,427.8,110722.92,643.737906976744
Sesamum,2012,Kharif     ,Andhra Pradesh,25000,6000,968.7,3770000,7750,0.2,9990500,38750,10029250,1671.54166666667
Sesamum,2012,Rabi       ,Andhra Pradesh,41000,15000,968.7,6182800,12710,0.283846154,16384420,63550,16447970,1096.53133333333
Small millets,2012,Kharif     ,Andhra Pradesh,36000,35000,968.7,5428800,11160,1.283333333,14386320,55800,14442120,412.632
Small millets,2012,Rabi       ,Andhra Pradesh,2000,1000,968.7,301600,620,0.5,799240,3100,802340,802.34
Soyabean,2012,Kharif     ,Andhra Pradesh,1317,2393,968.7,198603.6,408.27,1.793333333,526299.54,2041.35,528340.89,220.785996656916
Soyabean,2012,Rabi       ,Andhra Pradesh,81,147,968.7,12214.8,25.11,1.816666667,32369.22,125.55,32494.77,221.052857142857
Sugarcane,2012,Whole Year ,Andhra Pradesh,196000,15448000,968.7,29556800,60760,81.79941176,78325520,303800,78629320,5.08993526670119
Sunflower,2012,Kharif     ,Andhra Pradesh,19000,14000,968.7,2865200,5890,0.763333333,7592780,29450,7622230,544.445
Sunflower,2012,Rabi       ,Andhra Pradesh,123000,87000,968.7,18548400,38130,0.758333333,49153260,190650,49343910,567.171379310345
Sweet potato,2012,Kharif     ,Andhra Pradesh,131,1341,968.7,19754.8,40.61,10.002,52350.22,203.05,52553.27,39.1896122296794
Sweet potato,2012,Rabi       ,Andhra Pradesh,650,6257,968.7,98020,201.5,9.615454545,259753,1007.5,260760.5,41.675003995525
Tapioca,2012,Kharif     ,Andhra Pradesh,11619,213952,968.7,1752145.2,3601.89,18.414,4643184.78,18009.45,4661194.23,21.7861680657344
Tobacco,2012,Kharif     ,Andhra Pradesh,18006,151392,968.7,2715304.8,5581.86,8.578461538,7195557.72,27909.3,7223467.02,47.7136639980977
Tobacco,2012,Rabi       ,Andhra Pradesh,56,286,968.7,8444.8,17.36,5.255,22378.72,86.8,22465.52,78.5507692307692
Tobacco,2012,Whole Year ,Andhra Pradesh,134000,265000,968.7,20207200,41540,2.56,53549080,207700,53756780,202.855773584906
Urad,2012,Kharif     ,Andhra Pradesh,57000,51000,968.7,8595600,17670,0.830666667,22778340,88350,22866690,448.366470588235
Urad,2012,Rabi       ,Andhra Pradesh,387000,321000,968.7,58359600,119970,0.693333333,154652940,599850,155252790,483.653551401869
Wheat,2012,Rabi       ,Andhra Pradesh,8000,9000,968.7,1206400,2480,1.25,3196960,12400,3209360,356.595555555556
Arecanut,2012,Rabi       ,Assam,67327,88999,2167.5,10152911.6,20871.37,1.557037037,26905215.74,104356.85,27009572.59,303.481753615209
Arhar/Tur,2012,Kharif     ,Assam,5958,4937,2167.5,898466.4,1846.98,0.81962963,2380935.96,9234.9,2390170.86,484.134263722909
Banana,2012,Whole Year ,Assam,47063,763234,2167.5,7097100.4,14589.53,15.99074074,18807316.06,72947.65,18880263.71,24.7371890010141
Black pepper,2012,Whole Year ,Assam,3531,5541,2167.5,532474.8,1094.61,1.682962963,1411058.22,5473.05,1416531.27,255.64541959935
Castor seed,2012,Kharif     ,Assam,902,492,2167.5,136021.6,279.62,0.5436,360457.24,1398.1,361855.34,735.478333333333
Coconut ,2012,Whole Year ,Assam,20233,136640000,2167.5,3051136.4,6272.23,6245.638519,8085511.46,31361.15,8116872.61,0.0594033417008197
Cotton(lint),2012,Kharif     ,Assam,1802,863,2167.5,271741.6,558.62,0.489583333,720115.24,2793.1,722908.34,837.66899188876
Dry chillies,2012,Whole Year ,Assam,18974,14765,2167.5,2861279.2,5881.94,0.746666667,7582389.88,29409.7,7611799.58,515.529941076871
Ginger,2012,Whole Year ,Assam,16718,132305,2167.5,2521074.4,5182.58,7.902962963,6680847.16,25912.9,6706760.06,50.6916598767998
Gram,2012,Rabi       ,Assam,1742,966,2167.5,262693.6,540.02,0.590740741,696138.04,2700.1,698838.14,723.434927536232
Jute,2012,Kharif     ,Assam,65092,557990,2167.5,9815873.6,20178.52,8.367777778,26012065.04,100892.6,26112957.64,46.7982538038316
Linseed,2012,Rabi       ,Assam,6466,3827,2167.5,975072.8,2004.46,0.564,2583942.92,10022.3,2593965.22,677.806433237523
Maize,2012,Kharif     ,Assam,23695,21258,2167.5,3573206,7345.45,0.771481481,9468995.9,36727.25,9505723.15,447.159805720199
Masoor,2012,Rabi       ,Assam,28923,16731,2167.5,4361588.4,8966.13,0.5748,11558209.26,44830.65,11603039.91,693.505463510848
Mesta,2012,Kharif     ,Assam,4479,25096,2167.5,675433.2,1388.49,5.216923077,1789897.98,6942.45,1796840.43,71.5986782754224
Moong(Green Gram),2012,Rabi       ,Assam,10052,5953,2167.5,1515841.6,3116.12,0.565185185,4016980.24,15580.6,4032560.84,677.39977154376
Niger seed,2012,Kharif     ,Assam,7669,4059,2167.5,1156485.2,2377.39,0.572608696,3064685.78,11886.95,3076572.73,757.963224932249
Onion,2012,Whole Year ,Assam,7099,25893,2167.5,1070529.2,2200.69,3.265185185,2836902.38,11003.45,2847905.83,109.987480400108
Peas & beans (Pulses),2012,Rabi       ,Assam,30952,19821,2167.5,4667561.6,9595.12,0.654814815,12369038.24,47975.6,12417013.84,626.457486504213
Potato,2012,Whole Year ,Assam,95436,708632,2167.5,14391748.8,29585.16,7.105555556,38138134.32,147925.8,38286060.12,54.0281276036081
Rapeseed &Mustard,2012,Rabi       ,Assam,279496,170382,2167.5,42147996.8,86643.76,0.564814815,111692191.52,433218.8,112125410.32,658.082487117184
Rice,2012,Autumn     ,Assam,238178,308745,2167.5,35917242.4,73835.18,1.291481481,95180692.36,369175.9,95549868.26,309.478269316102
Rice,2012,Summer     ,Assam,389140,1155877,2167.5,58682312,120633.4,2.7724,155508126.8,603167,156111293.8,135.058742236414
Rice,2012,Winter     ,Assam,1857410,3655430,2167.5,280097428,575797.1,1.968888889,742258184.2,2878985.5,745137169.7,203.843917049431
Sesamum,2012,Kharif     ,Assam,11413,8012,2167.5,1721080.4,3538.03,0.629259259,4560863.06,17690.15,4578553.21,571.461958312531
Small millets,2012,Kharif     ,Assam,4429,2200,2167.5,667893.2,1372.99,0.537307692,1769916.98,6864.95,1776781.93,807.62815
Sugarcane,2012,Whole Year ,Assam,28871,1028161,2167.5,4353746.8,8950.01,35.72222222,11537429.02,44750.05,11582179.07,11.2649469003395
Sweet potato,2012,Whole Year ,Assam,6277,25955,2167.5,946571.6,1945.87,4.54037037,2508414.74,9729.35,2518144.09,97.0196143324986
Tapioca,2012,Whole Year ,Assam,3866,31306,2167.5,582992.8,1198.46,8.665555556,1544930.92,5992.3,1550923.22,49.5407659873507
Tobacco,2012,Whole Year ,Assam,278,148,2167.5,41922.4,86.18,0.58952381,111094.36,430.9,111525.26,753.549054054054
Turmeric,2012,Whole Year ,Assam,16309,15583,2167.5,2459397.2,5055.79,0.928888889,6517402.58,25278.95,6542681.53,419.860202143361
Urad,2012,Rabi       ,Assam,48527,26735,2167.5,7317871.6,15043.37,0.546666667,19392359.74,75216.85,19467576.59,728.168191135216
Wheat,2012,Rabi       ,Assam,33984,44190,2167.5,5124787.2,10535.04,1.2508,13580686.08,52675.2,13633361.28,308.516887983707
Arecanut,2012,Whole Year ,Karnataka,221337,1776427,956.2,33377619.6,68614.47,8.184,88450691.94,343072.35,88793764.29,49.9844712391784
Arhar/Tur,2012,Kharif     ,Karnataka,659742,467109,956.2,99489093.6,204520.02,0.573333333,263646098.04,1022600.1,264668698.14,566.61014482701
Bajra,2012,Kharif     ,Karnataka,274615,285157,956.2,41411942,85130.65,0.986190476,109741646.3,425653.25,110167299.55,386.339102845099
Black pepper,2012,Whole Year ,Karnataka,26837,76040,956.2,4047019.6,8319.47,2.986,10724601.94,41597.35,10766199.29,141.585998027354
Cardamom,2012,Whole Year ,Karnataka,19286,1578,956.2,2908328.8,5978.66,0.093333333,7707071.32,29893.3,7736964.62,4903.01940430925
Cashewnut,2012,Whole Year ,Karnataka,63404,51026,956.2,9561323.2,19655.24,0.85,25337506.48,98276.2,25435782.68,498.48670638498
Castor seed,2012,Kharif     ,Karnataka,11462,7142,956.2,1728469.6,3553.22,0.658095238,4580444.44,17766.1,4598210.54,643.826734808177
Coconut ,2012,Whole Year ,Karnataka,441048,4342441000,956.2,66510038.4,136724.88,9923.938333,176251601.76,683624.4,176935226.16,0.0407455682552739
Coriander,2012,Whole Year ,Karnataka,4219,1667,956.2,636225.2,1307.89,0.401304348,1685996.78,6539.45,1692536.23,1015.31867426515
Cotton(lint),2012,Kharif     ,Karnataka,446810,1026068,956.2,67378948,138511.1,2.051304348,178554212.2,692555.5,179246767.7,174.69287386411
Cotton(lint),2012,Rabi       ,Karnataka,48405,59666,956.2,7299474,15005.55,1.118,19343606.1,75027.75,19418633.85,325.455600341903
Cotton(lint),2012,Summer     ,Karnataka,1810,5017,956.2,272948,561.1,2.77375,723312.2,2805.5,726117.7,144.731453059597
Cowpea(Lobia),2012,Kharif     ,Karnataka,64825,17765,956.2,9775610,20095.75,0.36962963,25905366.5,100478.75,26005845.25,1463.88095975232
Cowpea(Lobia),2012,Rabi       ,Karnataka,7192,2396,956.2,1084553.6,2229.52,0.332272727,2874067.04,11147.6,2885214.64,1204.17973288815
Cowpea(Lobia),2012,Summer     ,Karnataka,6937,2498,956.2,1046099.6,2150.47,0.366956522,2772163.94,10752.35,2782916.29,1114.05776220977
Dry chillies,2012,Kharif     ,Karnataka,51284,47005,956.2,7733627.2,15898.04,1.012857143,20494112.08,79490.2,20573602.28,437.689655994043
Dry chillies,2012,Rabi       ,Karnataka,5430,14836,956.2,818844,1683.3,2.660769231,2169936.6,8416.5,2178353.1,146.828868967377
Dry chillies,2012,Summer     ,Karnataka,5057,14294,956.2,762595.6,1567.67,2.784,2020878.34,7838.35,2028716.69,141.927850146915
Garlic,2012,Whole Year ,Karnataka,4238,5531,956.2,639090.4,1313.78,1.385625,1693589.56,6568.9,1700158.46,307.387174109564
Ginger,2012,Whole Year ,Karnataka,16513,526093,956.2,2490160.4,5119.03,31.67157895,6598925.06,25595.15,6624520.21,12.5919185581257
Gram,2012,Rabi       ,Karnataka,969072,623101,956.2,146136057.6,300412.32,0.596538462,387260552.64,1502061.6,388762614.24,623.915888820593
Groundnut,2012,Kharif     ,Karnataka,404646,227389,956.2,61020616.8,125440.26,0.604642857,161704634.52,627201.3,162331835.82,713.89484900325
Groundnut,2012,Rabi       ,Karnataka,18818,31805,956.2,2837754.4,5833.58,1.695,7520049.16,29167.9,7549217.06,237.359442226065
Groundnut,2012,Summer     ,Karnataka,165406,135976,956.2,24943224.8,51275.86,0.887826087,66099545.72,256379.3,66355925.02,487.997330558334
Horse-gram,2012,Kharif     ,Karnataka,63877,25984,956.2,9632651.6,19801.87,0.419230769,25526526.74,99009.35,25625536.09,986.204436961207
Horse-gram,2012,Rabi       ,Karnataka,135973,51933,956.2,20504728.4,42151.63,0.368518519,54337530.26,210758.15,54548288.41,1050.35889338186
Jowar,2012,Kharif     ,Karnataka,158054,193564,956.2,23834543.2,48996.74,1.152173913,63161539.48,244983.7,63406523.18,327.573945465066
Jowar,2012,Rabi       ,Karnataka,1097473,1107363,956.2,165498928.4,340216.63,0.87047619,438572160.26,1701083.15,440273243.41,397.587099632189
Jowar,2012,Summer     ,Karnataka,8361,13771,956.2,1260838.8,2591.91,1.6,3341222.82,12959.55,3354182.37,243.568540411009
Linseed,2012,Rabi       ,Karnataka,6882,1206,956.2,1037805.6,2133.42,0.207142857,2750184.84,10667.1,2760851.94,2289.2636318408
